IOTDeviceID,SiteId,LineId,SensorId,MachineId,Tag,Value,TS,uuid,TS2
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.7,2024-08-21 09:50:45,c0fa8073-4e24-4276-a283-fe79db8b77d7,2024-08-21 09:50:45.630 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.7,2024-08-21 09:51:00,e7534b0e-e501-47ab-92ea-a69a45138237,2024-08-21 09:51:00.549 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.6,2024-08-21 09:51:15,42a50c73-74cd-45e7-9432-7a992f7e3fdf,2024-08-21 09:51:15.504 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.6,2024-08-21 09:51:30,fbf58a92-17b4-4a7a-8fd9-d741e491a2c0,2024-08-21 09:51:30.566 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.6,2024-08-21 09:51:45,031133b0-4b4e-42ba-872d-d3ae21e97b91,2024-08-21 09:51:45.406 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.6,2024-08-21 09:52:00,f5ebb273-10df-4582-b000-9f99e65a59a1,2024-08-21 09:52:01.305 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.6,2024-08-21 09:52:15,54d203da-c0ea-48ad-9c99-270cab32cf52,2024-08-21 09:52:15.559 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.6,2024-08-21 09:52:30,152fc828-121d-48cc-9376-2f6b74106225,2024-08-21 09:52:30.461 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.6,2024-08-21 09:52:45,16e49bd1-4fd0-490e-a52d-c53d2e2dd784,2024-08-21 09:52:45.403 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.6,2024-08-21 09:53:00,2df9e99e-bdba-483e-ab14-75818fc68132,2024-08-21 09:53:00.689 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.5,2024-08-21 09:53:15,48ba6aac-65b5-44c1-b9f7-5fdc5ab3a773,2024-08-21 09:53:15.353 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.5,2024-08-21 09:53:30,43ae76a0-7f80-4c25-93b4-23ec53226bce,2024-08-21 09:53:30.464 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.5,2024-08-21 09:53:45,6f219555-d8ca-4581-a76c-488a40baf20a,2024-08-21 09:53:45.472 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.6,2024-08-21 09:54:00,ec2e4eed-fbde-407a-b8a7-1748af05ef77,2024-08-21 09:54:00.422 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.7,2024-08-21 09:54:15,ef54ef2f-3ae1-420a-90de-7d8effb15c83,2024-08-21 09:54:15.461 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.7,2024-08-21 09:54:30,9da01c74-8ab2-437f-9a03-84b865228876,2024-08-21 09:54:30.623 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.7,2024-08-21 09:54:45,5d702e2f-e7d1-48df-8d8e-dcbea1611df2,2024-08-21 09:54:45.358 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.7,2024-08-21 09:55:00,9bda31a6-5b57-4c24-b659-425c8245537b,2024-08-21 09:55:00.546 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.7,2024-08-21 09:55:15,b1bc5d82-32a2-4ca7-870f-307e2cf56f30,2024-08-21 09:55:15.409 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.7,2024-08-21 09:55:30,7c73c4d3-7471-44c2-af8c-84bc8d0afe30,2024-08-21 09:55:30.485 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.8,2024-08-21 09:55:45,c5fbedd5-f187-4b3a-81e5-35c881707436,2024-08-21 09:55:45.403 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.8,2024-08-21 09:56:00,b5e5837e-4823-456e-aadc-143c1618d22d,2024-08-21 09:56:00.555 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.8,2024-08-21 09:56:15,5205e114-044f-469c-ab79-026075577e9f,2024-08-21 09:56:15.512 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.7,2024-08-21 09:56:30,37aae7ae-01c6-4d59-81fa-735553cf570a,2024-08-21 09:56:30.467 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.7,2024-08-21 09:56:45,01e731bb-98ab-45cb-a94e-7cf9e53eefed,2024-08-21 09:56:45.565 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.7,2024-08-21 09:57:00,03168aaf-f405-446e-8971-cad6fa3422d9,2024-08-21 09:57:00.508 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.7,2024-08-21 09:57:15,25e90be0-4b51-44dc-abf2-8630dcad8966,2024-08-21 09:57:15.490 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.8,2024-08-21 09:57:30,c7027a1e-814c-42a8-97da-855bebbd8e32,2024-08-21 09:57:30.594 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.8,2024-08-21 09:57:45,7c142dc2-b967-45a9-8f6a-abd351fbf4b1,2024-08-21 09:57:45.513 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.8,2024-08-21 09:58:00,73d42a42-5f32-424e-affe-e1811061d5a5,2024-08-21 09:58:00.233 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.8,2024-08-21 09:58:15,bef6ad9f-1fda-4854-bf91-a0f2d65a99f5,2024-08-21 09:58:15.581 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.8,2024-08-21 09:58:30,3c7e24ad-6e6e-4633-83bb-175096359de4,2024-08-21 09:58:30.552 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.8,2024-08-21 09:58:45,0ba5a415-35cc-4d66-9785-77c933526b00,2024-08-21 09:58:45.466 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.8,2024-08-21 09:59:00,cf1e155d-d388-457d-b601-b874e41d4e3f,2024-08-21 09:59:00.366 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.8,2024-08-21 09:59:15,6bad7394-fec5-48da-a688-59c098c11a61,2024-08-21 09:59:15.487 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.9,2024-08-21 09:59:30,941ee98d-22e0-4b77-8e7f-b11e41366b7d,2024-08-21 09:59:30.622 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.9,2024-08-21 09:59:45,2d487536-3f23-4328-abd7-601d502e118c,2024-08-21 09:59:45.499 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.8,2024-08-21 10:00:00,9e392408-5805-4948-a0e4-7351958b2609,2024-08-21 10:00:00.430 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,40.7,2024-08-21 09:45:00,fcb8c336-f08c-4616-a648-45fb2bb80cb6,2024-08-21 09:45:00.528 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,40.7,2024-08-21 09:45:15,89f85d1c-8e9b-4ae7-af45-b3adabc145ec,2024-08-21 09:45:15.544 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,40.7,2024-08-21 09:45:30,28fa99e3-9a0c-4091-984a-4e79c7b611ad,2024-08-21 09:45:30.627 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,40.7,2024-08-21 09:45:45,ad81d263-017c-4b0f-a501-6acb7542ea28,2024-08-21 09:45:45.552 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,40.7,2024-08-21 09:46:00,c2168145-1f69-41b0-aa52-aa2160b89286,2024-08-21 09:46:00.468 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,40.7,2024-08-21 09:46:15,1ddab3d7-a47b-4ee3-811e-71b44f84dc36,2024-08-21 09:46:15.387 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,40.7,2024-08-21 09:46:30,ed128260-d6e5-41f2-ba9b-3d4af6fba421,2024-08-21 09:46:30.539 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,40.8,2024-08-21 09:46:45,0faa2a8a-eee7-4e3f-9475-ee78afef2e6d,2024-08-21 09:46:45.482 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,40.8,2024-08-21 09:47:00,4bf1b421-e1d1-4f5f-bae0-cfd210c801af,2024-08-21 09:47:00.212 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,40.8,2024-08-21 09:47:15,1a65b837-67b6-4ee4-bdd7-c0d90ce7afaf,2024-08-21 09:47:15.540 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,40.9,2024-08-21 09:47:30,fc91140a-2efe-49d9-bdbf-50cb12b45ba5,2024-08-21 09:47:30.477 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,40.9,2024-08-21 09:47:45,1406dc22-3a62-47e0-9947-6c9129764911,2024-08-21 09:47:45.387 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,40.9,2024-08-21 09:48:00,a8230497-0d71-4033-bdd9-ab7bbe4a8811,2024-08-21 09:48:00.529 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,40.9,2024-08-21 09:48:30,1772c30d-8216-45f5-8709-6b85c23d1eae,2024-08-21 09:48:30.434 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,41.0,2024-08-21 09:48:45,ebbcf1c6-35b3-48f2-8a88-02c0e9aef0c4,2024-08-21 09:48:45.337 +08:00
