IOTDeviceID,SiteId,LineId,SensorId,MachineId,Tag,Value,TS,uuid,TS2
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.7,2024-08-21 10:00:15,78ac0a5a-77ee-4f64-b8ee-98559ad59004,2024-08-21 10:00:15.567 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.7,2024-08-21 10:00:30,149a6b13-6630-47de-beae-a824b727b15b,2024-08-21 10:00:30.517 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.7,2024-08-21 10:00:45,e08b5fec-f280-4603-94eb-88395cdf45b9,2024-08-21 10:00:45.469 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.7,2024-08-21 10:01:00,89dbc2b2-09ce-473f-a6cd-9fa1c1625179,2024-08-21 10:01:00.604 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.7,2024-08-21 10:01:15,f024c375-b99c-4ac8-88b4-34f13954a8fb,2024-08-21 10:01:15.493 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.7,2024-08-21 10:01:30,87949986-48c0-470a-b6a4-9057c9171716,2024-08-21 10:01:30.632 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.7,2024-08-21 10:01:45,9e613d95-93ec-4bc5-beda-b4101d3dd11a,2024-08-21 10:01:45.491 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.7,2024-08-21 10:02:00,2ef4f903-5a2f-4b27-b9f3-8b9c6b42fea4,2024-08-21 10:02:00.634 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.7,2024-08-21 10:02:15,5a16694d-3da0-41cd-9c83-9e63b00e21f6,2024-08-21 10:02:15.535 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.7,2024-08-21 10:02:30,4af88c65-07b4-4fc2-b2d4-a01ecb26b17e,2024-08-21 10:02:30.564 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.7,2024-08-21 10:02:45,940a2754-8bb1-4402-ac4b-9072a52f349f,2024-08-21 10:02:45.357 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.6,2024-08-21 10:03:00,e766abec-4045-4528-a697-18c68483e80e,2024-08-21 10:03:00.336 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.6,2024-08-21 10:03:15,ebe975d4-ef2c-45d9-a6f1-8eb6c104d11e,2024-08-21 10:03:15.585 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.6,2024-08-21 10:03:45,a8bbd57f-fcb3-433c-a0ad-86661ad35dd7,2024-08-21 10:03:45.442 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.6,2024-08-21 10:04:00,c2b565bc-59cc-4717-bd9b-18dd2c00b02e,2024-08-21 10:04:00.550 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.6,2024-08-21 10:04:15,3c1d10f5-ecfd-45c7-8ce0-07ec62235989,2024-08-21 10:04:15.435 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.6,2024-08-21 10:04:30,f1c275d3-1726-46ae-bc73-1d8c2a2d6c47,2024-08-21 10:04:30.523 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.6,2024-08-21 10:04:45,9f0a88ab-a5f4-462e-bc31-dd617e8c393e,2024-08-21 10:04:45.570 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.5,2024-08-21 10:05:00,cad9dbae-7cf7-4d62-bf22-fbf44c7d6935,2024-08-21 10:05:00.536 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rDrum1InletTemp,-15.6,2024-08-21 10:05:15,a735cdbf-8f9d-4c64-a4a9-2375f51ac7bb,2024-08-21 10:05:15.550 +08:00
