title,date,link
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
"Apple's Mac shipments fall more than 40%, worse than major rivals",2023/04/10,https://www.cnbc.com/2023/04/10/apples-mac-shipments-fall-more-than-40percent-worse-than-major-rivals-idc.html
