from_id,from_name,from_type,to_id,to_name,to_type,relationship
Coating Cycle,Coating Cycle,CoatingCycle,Cycle-6,Cycle-6,CoatingCycle,HAS
Coating Cycle,Coating Cycle,CoatingCycle,Cycle-7,Cycle-7,CoatingCycle,HAS
Coating Cycle,Coating Cycle,CoatingCycle,Cycle-8,Cycle-8,CoatingCycle,HAS
Coating Cycle,Coating Cycle,CoatingCycle,Cycle-9,Cycle-9,CoatingCycle,HAS
Coating Cycle,Coating Cycle,CoatingCycle,Coating Step,Coating Step,CoatingStep,HAS
Coating Step,Coating Step,CoatingStep,Step-1,Step-1,CoatingStep,HAS
Coating Step,Coating Step,CoatingStep,Step-2,Step-2,CoatingStep,HAS
Coating Step,Coating Step,CoatingStep,Step-3,Step-3,CoatingStep,HAS
Coating Step,Coating Step,CoatingStep,Step-4,Step-4,CoatingStep,HAS
Coating Step,Coating Step,CoatingStep,Step-5,Step-5,CoatingStep,HAS
Coating Step,Coating Step,CoatingStep,Step-6,Step-6,CoatingStep,HAS
Coating Step,Coating Step,CoatingStep,Step-7,Step-7,CoatingStep,HAS
Measurement,Measurement,Measurement,Product,Product,Product,DEFINES
Measurement,Measurement,Measurement,Appearance,Appearance,Measurement,HAS
Measurement,Measurement,Measurement,PelletWeight,PelletWeight,Measurement,HAS
Measurement,Measurement,Measurement,Crunchiness,Crunchiness,Measurement,HAS
ProcessParameter,ProcessParameter,ProcessParameter,Coating Process,Coating Process,CoatingProcess,ASSOCIATES_WITH
PowderSprayUniformity,PowderSprayUniformity,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
PowderNozzleSize,PowderNozzleSize,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
Smoothness,Smoothness,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
PreviousSmoothness,PreviousSmoothness,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
Washedcorner,Washedcorner,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
PreviousWashedcorner,PreviousWashedcorner,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
CycleQtyOfPhase,CycleQtyOfPhase,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
PreviousPelletWeight,PreviousPelletWeight,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
PhaseTotSyrup,PhaseTotSyrup,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
CurrentSyrup,CurrentSyrup,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
CurrentWeightIncrement,CurrentWeightIncrement,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
GumCenterTotWeight,GumCenterTotWeight,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
